occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementMethod
IYS:GoA2020_Stn6:trawl:occ-43,IYS:GoA2020_Stn6:trawl:occ-43-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,NA,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,NA
IYS:GoA2020_Stn7:trawl:occ-44,IYS:GoA2020_Stn7:trawl:occ-44-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn7:trawl:occ-44,IYS:GoA2020_Stn7:trawl:occ-44-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,NA,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,NA
IYS:GoA2020_Stn7:trawl:occ-45,IYS:GoA2020_Stn7:trawl:occ-45-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,6,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn7:trawl:occ-45,IYS:GoA2020_Stn7:trawl:occ-45-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.009,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn7:trawl:occ-46,IYS:GoA2020_Stn7:trawl:occ-46-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,6,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn7:trawl:occ-46,IYS:GoA2020_Stn7:trawl:occ-46-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.015,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn7:trawl:occ-47,IYS:GoA2020_Stn7:trawl:occ-47-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,395,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn7:trawl:occ-47,IYS:GoA2020_Stn7:trawl:occ-47-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.206,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn7:trawl:occ-48,IYS:GoA2020_Stn7:trawl:occ-48-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,17,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn7:trawl:occ-48,IYS:GoA2020_Stn7:trawl:occ-48-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.047,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn8:trawl:occ-49,IYS:GoA2020_Stn8:trawl:occ-49-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,19,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn8:trawl:occ-49,IYS:GoA2020_Stn8:trawl:occ-49-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.077,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
IYS:GoA2020_Stn8:trawl:occ-50,IYS:GoA2020_Stn8:trawl:occ-50-individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020_Stn8:trawl:occ-50,IYS:GoA2020_Stn8:trawl:occ-50-biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.001,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,total
