eventID,parentEventID,eventDate,decimalLatitude,decimalLongitude,minimumDepthInMetres,maximumDepthInMetres,sampleSizeValue,eventRemarks,sampleSizeUnit,samplingProtocol,samplingEffort,footprintWKT,coordinateUncertaintyInMeters,type,geodeticDatum
IYS:GoA2020_Stn:S28:bongo:Net2,IYS:GoA2020_Stn:S28,2020-03-27T14:25:00Z,53.43,-135.49666666666667,250,250,54.66002385,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -135.496666666667   53.43 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:S27:bongo:Net1,IYS:GoA2020_Stn:S27,2020-03-27T20:52:00Z,53.4195,-137.05866666666665,250,250,41.62790122,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -137.058666666667   53.4195 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:S27:bongo:Net2,IYS:GoA2020_Stn:S27,2020-03-27T20:52:00Z,53.4195,-137.05866666666665,250,250,61.3527651,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -137.058666666667   53.4195 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:Y27:bongo:Net1,IYS:GoA2020_Stn:Y27,2020-03-28T08:20:00Z,52.4081666666667,-137.08883333333333,250,250,26.95028193,One zip tie broke at some point during ascent; Decent angle on wire during bongo cast,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -137.088833333333   52.4081666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:Y27:bongo:Net2,IYS:GoA2020_Stn:Y27,2020-03-28T08:20:00Z,52.4081666666667,-137.08883333333333,250,250,77.73916939,Decent angle on wire during bongo cast,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -137.088833333333   52.4081666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:AB:bongo:Net1,IYS:GoA2020_Stn:AB,2020-03-29T18:00:00Z,51.4183333333333,-138.61833333333334,250,250,70.3924487,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -138.618333333333   51.4183333333333 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:AB:bongo:Net2,IYS:GoA2020_Stn:AB,2020-03-29T18:17:00Z,51.4183333333333,-138.61833333333334,250,250,49.08537649,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -138.618333333333   51.4183333333333 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:AJ:bongo:Net1,IYS:GoA2020_Stn:AJ,2020-03-31T20:00:00Z,49.4783333333333,-138.52166666666668,250,250,38.0151922,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -138.521666666667   49.4783333333333 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:AJ:bongo:Net2,IYS:GoA2020_Stn:AJ,2020-03-31T20:00:00Z,49.4783333333333,-138.52166666666668,250,250,54.00077038,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -138.521666666667   49.4783333333333 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:AI:bongo:Net1,IYS:GoA2020_Stn:AI,2020-04-01T04:35:00Z,49.445,-140.00166666666667,250,250,27.24562748,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -140.001666666667   49.445 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:AI:bongo:Net2,IYS:GoA2020_Stn:AI,2020-04-01T04:35:00Z,49.445,-140.00166666666667,250,250,49.87120663,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -140.001666666667   49.445 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:AH:bongo:Net1,IYS:GoA2020_Stn:AH,2020-04-01T14:09:00Z,49.435,-141.49833333333333,250,250,31.67581081,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -141.498333333333   49.435 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:AH:bongo:Net2,IYS:GoA2020_Stn:AH,2020-04-01T14:09:00Z,49.435,-141.49833333333333,250,250,49.03791024,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -141.498333333333   49.435 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:AK:bongo:Net1,IYS:GoA2020_Stn:AK,2020-04-01T22:20:00Z,48.4051666666667,-141.47616666666667,250,250,29.13372942,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -141.476166666667   48.4051666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:AK:bongo:Net2,IYS:GoA2020_Stn:AK,2020-04-01T22:20:00Z,48.4051666666667,-141.47616666666667,250,250,45.07711538,NA,m^3,vertical Bongo Net deployment,Volume sea water filtered,POINT  ( -141.476166666667   48.4051666666667 ),0,PreservedSpecimen,EPSG:4326 WGS84
